2026-05-08 12:54:32 | INFO | pipeline | Starting pipeline
2026-05-08 12:54:32 | INFO | pipeline | Step 1/9: Resolve raw miRDB predictions and external miRBase/BioMart resources
2026-05-08 12:54:32 | INFO | utils | Using cached miRBase mature.fa resource: pipelines/standardized_predictors/mirdb_mirtarget/data/resources/mirbase/mature.fa
2026-05-08 12:54:32 | INFO | utils | Using cached BioMart NCBI Gene ID/RefSeq-to-Ensembl mapping table: pipelines/standardized_predictors/mirdb_mirtarget/data/resources/biomart/hsapiens_ncbi_gene_id_refseq_to_ensembl.tsv
2026-05-08 12:54:32 | INFO | utils | Using cached miRDB v6.0 all-score prediction file: pipelines/standardized_predictors/mirdb_mirtarget/data/miRDB_v6.0_prediction_result_human_all_scores.txt.gz
2026-05-08 12:54:32 | INFO | pipeline | Step 2/9: Load raw miRDB predictions
2026-05-08 12:54:48 | INFO | utils | Drop invalid raw miRDB prediction rows: 8255691 -> 8255691 rows
2026-05-08 12:54:52 | INFO | utils | Drop exact duplicate raw miRDB prediction rows: 8255691 -> 8255691 rows
2026-05-08 12:54:54 | INFO | utils | Check raw miRDB rows for duplicate miRNA-RefSeq transcript prediction pairs: 0 duplicate pairs involving 0 rows
2026-05-08 12:54:59 | INFO | utils | Check raw miRDB rows for duplicate miRNA-NCBI Gene ID prediction pairs from raw column 4: 0 duplicate pairs involving 0 rows
2026-05-08 12:55:02 | INFO | pipeline | Step 3/9: Create miRNA name-to-MIMAT mapping from miRBase mature.fa
2026-05-08 12:55:02 | INFO | pipeline | Step 4/9: Create NCBI Gene ID-to-Ensembl gene mapping from BioMart table
2026-05-08 12:55:02 | INFO | utils | Filter NCBI Gene ID-to-Ensembl mapping table to drop invalid rows: 168112 -> 110750 rows
2026-05-08 12:55:03 | INFO | utils | Filter NCBI Gene ID-to-Ensembl mapping table to drop exact duplicate rows: 110750 -> 34460 rows
2026-05-08 12:55:03 | INFO | utils | Filter NCBI Gene ID-to-Ensembl mapping table to drop NCBI Gene IDs with conflicting Ensembl gene mappings: 34460 -> 23869 rows
2026-05-08 12:55:03 | INFO | pipeline | Step 5/9: Create RefSeq-to-Ensembl fallback gene mapping from BioMart table
2026-05-08 12:55:03 | INFO | utils | Filter RefSeq-to-Ensembl mapping table to drop invalid rows: 168112 -> 79730 rows
2026-05-08 12:55:03 | INFO | utils | Filter RefSeq-to-Ensembl mapping table to drop exact duplicate rows: 79730 -> 74568 rows
2026-05-08 12:55:03 | INFO | utils | Filter RefSeq-to-Ensembl mapping table to drop RefSeq IDs with conflicting Ensembl gene mappings: 74568 -> 63157 rows
2026-05-08 12:55:05 | INFO | pipeline | Step 6/9: Map prediction miRNA names to MIMAT IDs
2026-05-08 12:55:06 | INFO | utils | Drop prediction rows with miRNA names that cannot map to MIMAT IDs: 8255691 -> 8255691 rows
2026-05-08 12:55:06 | INFO | pipeline | Step 7/9: Map prediction NCBI Gene IDs to Ensembl gene IDs and gene names
2026-05-08 12:55:10 | INFO | utils | Rows left for RefSeq fallback after NCBI Gene ID mapping: 8255691 -> 489329 rows
2026-05-08 12:55:10 | INFO | pipeline | Step 8/9: Map remaining prediction RefSeq transcript IDs to Ensembl gene IDs and gene names
2026-05-08 12:55:12 | INFO | utils | Rows still unmapped after RefSeq fallback: 489329 -> 451230 rows
2026-05-08 12:55:13 | INFO | utils | Drop prediction rows that cannot map to Ensembl genes after NCBI Gene ID mapping and RefSeq fallback: 8255691 -> 7804461 rows
2026-05-08 12:55:13 | INFO | pipeline | Step 9/9: Build and write final standardized output table
2026-05-08 12:55:21 | INFO | utils | Drop final Ensembl_ID-miRNA_ID pairs with conflicting scores after NCBI/RefSeq-to-gene mapping: 7804461 -> 7799023 rows
2026-05-08 12:55:23 | INFO | utils | Drop duplicate final Ensembl_ID-miRNA_ID pairs with identical scores after NCBI/RefSeq-to-gene mapping: 7799023 -> 7795525 rows
2026-05-08 12:55:35 | INFO | pipeline | Output written to: data/predictions/mirdb_mirtarget/mirdb_mirtarget_standardized.tsv
